url,name,sku,selling_price,original_price,currency,availability,color,category,source,source_website,breadcrumbs,description,brand,images,country,language,average_rating,reviews_count,crawled_at
https://www.adidas.com/us/lite-racer-byd-2.0-shoes/GZ8211.html,Lite Racer BYD 2.0 Shoes,GZ8211,56,$70,USD,InStock,Blue,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"Simplicity, versatility and comfort. Lace up these running-inspired shoes on action-filled days. They're quick to slip on when you're racing out the door. The rubber outsole gives you traction on slippery and uneven surfaces. A Cloudfoam midsole is for a soft feel and all-day cushioning.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",adidas,GZ8211_1.jpg~GZ8211_2.jpg~GZ8211_3.jpg~GZ8211_4.jpg~GZ8211_5.jpg~GZ8211_6.jpg~GZ8211_7.jpg~GZ8211_8.jpg,USA,en,4.6,135,2021-10-23 17:50:23.412934
https://www.adidas.com/us/zx-2k-boost-2.0-shoes/GZ7823.html,ZX 2K Boost 2.0 Shoes,GZ7823,105,$150,USD,InStock,White,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,ZXience expands the ZX universe with a glow. Step into the ZX 2K BOOST 2.0 to experience the cushioned comfort of the wrapped Boost midsole. Embrace the glow of the upper's bold luminous design. Eyes may widen. Embrace all sensations.,adidas,GZ7823_1.jpg~GZ7823_2.jpg~GZ7823_3.jpg~GZ7823_4.jpg~GZ7823_5.jpg~GZ7823_6.jpg~GZ7823_7.jpg~GZ7823_8.jpg~GZ7823_9.jpg~GZ7823_10.jpg~GZ7823_11.jpg~GZ7823_12.jpg,USA,en,4.7,58,2021-10-23 17:50:23.816688
https://www.adidas.com/us/racer-tr21-shoes/H00652.html,Racer TR21 Shoes,H00652,60,$75,USD,InStock,Grey,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"These adidas shoes bring the athletic style of running footwear to your everyday look. Move confidently through your day in a comfortably snug fit and a lightweight midsole that provides all-day cushioning underfoot.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",adidas,H00652_1.jpg~H00652_2.jpg~H00652_3.jpg~H00652_4.jpg~H00652_5.jpg~H00652_6.jpg~H00652_7.jpg~H00652_8.jpg~H00652_9.jpg,USA,en,4.8,78,2021-10-23 17:50:24.417522
https://www.adidas.com/us/zx-2k-boost-2.0-shoes/GZ9087.html,ZX 2K Boost 2.0 Shoes,GZ9087,105,$150,USD,InStock,Black,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"In the '80s, the ZX series made some serious noise when it broke onto the running scene. Not a bad legacy to lace into. Put on these adidas ZX 2K Boost 2.0 Shoes and shake things up yourself. You'll stay comfortable as you do, thanks to plush cushioning.",adidas,GZ9087_1.jpg~GZ9087_2.jpg~GZ9087_3.jpg~GZ9087_4.jpg~GZ9087_5.jpg~GZ9087_6.jpg~GZ9087_7.jpg~GZ9087_8.jpg~GZ9087_9.jpg,USA,en,4.7,183,2021-10-23 17:50:24.582331
https://www.adidas.com/us/allover-print-camo-shorts-and-tee-set/H20302.html,Allover Print Camo Shorts and Tee Set,H20302,36,$45,USD,InStock,Blue,Clothing,adidas United States,https://www.adidas.com,Kids/Clothing,"They're so vibrant, not even camouflage can make them blend in. Get kids dressed to explore in this adidas shorts and t-shirt set. Bright yellow splashes on the camo shout to their unstoppable energy. Soft cotton fabric means they'll be comfy, no matter where their discoveries take them.

By buying cotton products from us, you're supporting more sustainable cotton farming.",adidas,H20302_1.jpg~H20302_2.jpg~H20302_3.jpg~H20302_4.jpg~H20302_5.jpg~H20302_6.jpg~H20302_7.jpg~H20302_8.jpg,USA,en,5.0,8,2021-10-23 17:50:24.843697
https://www.adidas.com/us/marimekko-believe-this-primegreen-aeroready-training-bra/GV2043.html,Marimekko Believe This Primegreen AEROREADY Training Bra,GV2043,20,$28,USD,InStock,Pink,Clothing,adidas United States,https://www.adidas.com,Kids/Clothing,"Celebrate female empowerment your own way. Designed with Finnish label Marimekko, this juniors' adidas training bra shows off your fierce, feminine spirit. Bright colors in Marimekko's famous Räsymatto design give you signature style. Work hard in comfort thanks to moisture-absorbing AEROREADY.

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,GV2043_1.jpg~GV2043_2.jpg~GV2043_3.jpg~GV2043_4.jpg~GV2043_5.jpg,USA,en,4.0,2,2021-10-23 17:50:24.926494
https://www.adidas.com/us/zx-2k-boost-2.0-shoes/GZ7826.html,ZX 2K Boost 2.0 Shoes,GZ7826,105,$150,USD,InStock,Green,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,ZXience expands the ZX universe with a glow. Step into the ZX 2K BOOST 2.0 to experience the cushioned comfort of the wrapped Boost midsole. Embrace the glow of the upper's bold luminous design. Eyes may widen. Embrace all sensations.,adidas,GZ7826_1.jpg~GZ7826_2.jpg~GZ7826_3.jpg~GZ7826_4.jpg~GZ7826_5.jpg~GZ7826_6.jpg~GZ7826_7.jpg~GZ7826_8.jpg~GZ7826_9.jpg,USA,en,4.7,58,2021-10-23 17:50:25.427791
https://www.adidas.com/us/3-stripes-low-cut-socks-3-pairs/EX6581.html,3-Stripes Low Cut Socks 3 Pairs,EX6581,10,$14,USD,InStock,Grey,Accessories,adidas United States,https://www.adidas.com,Women/Accessories,"Long sets of tuck-ups or leg presses, workouts feel just a little bit easier with the 3-Stripes on your side. Cut low for a comfort, these socks show off a touch of adidas love on the cuff for added motivation when you need it. Lightweight, moisture-wicking yarn keeps your feet feeling as good as they look.",adidas,EX6581_1.jpg~EX6581_2.jpg~EX6581_3.jpg~EX6581_4.jpg,USA,en,4.8,6,2021-10-23 17:50:26.085859
https://www.adidas.com/us/future-icons-3-stripes-tapered-leg-pants/H07368.html,Future Icons 3-Stripes Tapered-Leg Pants,H07368,32,$45,USD,InStock,Grey,Clothing,adidas United States,https://www.adidas.com,Kids/Clothing,"Let your 3-Stripes do your talking for you. Warm up or cool down between workouts in these juniors' pants. Show off your love of adidas with a fresh take on the 3-Stripes. Soft knit feels like the weekend no matter what day you wear them. Enough said.

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,H07368_1.jpg~H07368_2.jpg~H07368_3.jpg~H07368_4.jpg~H07368_5.jpg,USA,en,4.6,14,2021-10-23 17:50:26.272928
https://www.adidas.com/us/zx-2k-boost-2.0-shoes/GY3494.html,ZX 2K Boost 2.0 Shoes,GY3494,135,$150,USD,InStock,White,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"Look fast. Feel fast. Built on cutting-edge running tech and a progressive spirit, these adidas ZX 2K Boost 2.0 Shoes serve up serious comfort for all your daily moves. Responsive Boost energizes every step as you zip around town. Translucent details flash futuristic style.",adidas,GY3494_1.jpg~GY3494_2.jpg~GY3494_3.jpg~GY3494_4.jpg~GY3494_5.jpg~GY3494_6.jpg~GY3494_7.jpg~GY3494_8.jpg~GY3494_9.jpg,USA,en,4.7,183,2021-10-23 17:50:26.441483
https://www.adidas.com/us/zx-2k-boost-pure-shoes/GZ7730.html,ZX 2K Boost Pure Shoes,GZ7730,135,$150,USD,InStock,Blue,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,Peer into pure satisfaction. Lace into the stealthy upper of the ZX 2K BOOST PURE's sophisticated tech silhouette. Feel the soft materials embrace your feet. Take a squishy step. The ZX universe just expanded to a new level of sensation.,adidas,GZ7730_1.jpg~GZ7730_2.jpg~GZ7730_3.jpg~GZ7730_4.jpg~GZ7730_5.jpg~GZ7730_6.jpg~GZ7730_7.jpg~GZ7730_8.jpg~GZ7730_9.jpg~GZ7730_10.jpg~GZ7730_11.jpg~GZ7730_12.jpg,USA,en,4.3,26,2021-10-23 17:50:26.709397
https://www.adidas.com/us/racer-tr21-shoes/H00647.html,Racer TR21 Shoes,H00647,53,$75,USD,InStock,White,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"These adidas shoes bring the athletic style of running footwear to your everyday look. Move confidently through your day in a comfortably snug fit and a lightweight midsole that provides all-day cushioning underfoot.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",adidas,H00647_1.jpg~H00647_2.jpg~H00647_3.jpg~H00647_4.jpg~H00647_5.jpg~H00647_6.jpg~H00647_7.jpg~H00647_8.jpg~H00647_9.jpg,USA,en,4.8,78,2021-10-23 17:50:26.784560
https://www.adidas.com/us/eq21-run-shoes/H68075.html,EQ21 Run Shoes,H68075,64,$80,USD,InStock,Grey,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"When running is your sport, there's nothing you love more than that daily run. Log miles in ultimate comfort when you lace up in these adidas shoes. A breathable upper keeps feet feeling cool and fresh on warm days. Lightweight cushioning makes each step more enjoyable. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",adidas,H68075_1.jpg~H68075_2.jpg~H68075_3.jpg~H68075_4.jpg~H68075_5.jpg~H68075_6.jpg~H68075_7.jpg~H68075_8.jpg,USA,en,4.6,146,2021-10-23 17:50:26.866348
https://www.adidas.com/us/racer-tr21-shoes/GV7386.html,Racer TR21 Shoes,GV7386,68,$75,USD,InStock,Black,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"Stay comfortable and light on your feet through every step of your day in these shoes. Running-inspired cushioning is lightweight underfoot. The 3-Stripes design brings classic adidas style to any look. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",adidas,GV7386_1.jpg~GV7386_2.jpg~GV7386_3.jpg~GV7386_4.jpg~GV7386_5.jpg~GV7386_6.jpg~GV7386_7.jpg~GV7386_8.jpg~GV7386_9.jpg,USA,en,4.6,377,2021-10-23 17:50:27.073433
https://www.adidas.com/us/delpala-x-fmf-shoes/H02584.html,Delpala x FMF Shoes,H02584,52,$65,USD,InStock,White,Shoes,adidas United States,https://www.adidas.com,Originals/Shoes,"Witness the rebirth of adidas vulcanized shoes. Democratic to the core, your style spans the ocean to connect the attitude of Mexico's team to a laid-back California vibe. Pops of color? Yes. Metallic gold accents? Of course. Super fresh look? Totally.",adidas,H02584_1.jpg~H02584_2.jpg~H02584_3.jpg~H02584_4.jpg~H02584_5.jpg~H02584_6.jpg~H02584_7.jpg~H02584_8.jpg,USA,en,4.8,59,2021-10-23 17:50:27.151770
https://www.adidas.com/us/zx-1k-boost-shoes/H68719.html,ZX 1K Boost Shoes,H68719,70,$100,USD,InStock,Blue,Shoes,adidas United States,https://www.adidas.com,Originals/Shoes,"In a constantly evolving world, keeping up is just part of the routine. Stay on top of it in these airy knit mesh adidas shoes. The ZX series has merged technology with culture since the '80s. Today a combination of Boost and EVA cushioning keeps you comfortable as you charge through the day.",adidas,H68719_1.jpg~H68719_2.jpg~H68719_3.jpg~H68719_4.jpg~H68719_5.jpg~H68719_6.jpg~H68719_7.jpg~H68719_8.jpg~H68719_9.jpg,USA,en,3.9,515,2021-10-23 17:50:27.346334
